,pointid,year,period,% bare soil
419,Ol_7143.8,2024,R1,46.8588233817758
420,Ol_7184.1,2024,R1,33.601114055960466
421,Ol_7210.12,2024,R1,40.066835496137585
422,Ol_7274.5,2024,R1,1.1091033599181412
423,Ol_7408.3,2024,R1,86.03213546466473
424,Ol_748.13,2024,R1,21.302692359748725
425,Ol_749.18,2024,R1,24.78684765132875
426,Ol_7536.6,2024,R1,0.0
427,Ol_7734,2024,R1,4.542547158116932
428,Ol_7760.4,2024,R1,15.80487545204447
429,Ol_7768.9,2024,R1,38.394329024288446
430,Ol_778.1,2024,R1,30.265647217659563
431,Ol_782.5,2024,R1,64.55430292005903
432,Ol_7921.1.6,2024,R1,28.082680007421395
433,Ol_7928.4,2024,R1,2.560002611149283
434,Ol_7941.5,2024,R1,83.30262790568943
435,Ol_818.1,2024,R1,29.21862544371059
436,Ol_8195.4,2024,R1,7.059631988089398
437,Ol_8233,2024,R1,10.982541730050752
438,Ol_827.8,2024,R1,52.020632429093574
439,Ol_8293,2024,R1,7.36780648496958
440,Ol_8297.10,2024,R1,0.0
441,Ol_8301.3.1,2024,R1,0.0
442,Ol_8318.1,2024,R1,37.64763225604456
443,Ol_8360.7,2024,R1,99.72553622910792
444,Ol_8741.5,2024,R1,34.69316724003584
445,Ol_8798.2,2024,R1,50.769964270291744
446,Ol_8799.1,2024,R1,45.13311555369816
447,Ol_8824.2,2024,R1,26.764712346976673
448,Ol_8888.15,2024,R1,89.60916191231729
449,Ol_8952.2,2024,R1,17.01033012662153
450,Ol_9050.2,2024,R1,15.837100439776597
451,Ol_9053.1,2024,R1,28.055127764707528
452,Ol_9077.8,2024,R1,23.35478834706847
453,Ol_9079.2,2024,R1,10.803447338543387
454,Ol_9185,2024,R1,16.71213508014812
455,Ol_9473.2,2024,R1,16.162530747691136
456,Ol_9501.1,2024,R1,54.44161232536274
457,Ol_9534,2024,R1,1.175994003260002
458,Ol_9615.10,2024,R1,31.401020543956697
459,Ol_9617.9,2024,R1,35.02613346118521
460,Ol_9635.4,2024,R1,29.156708957728277
461,Ol_9663.13,2024,R1,28.891326826324914
462,Ol_9676.2,2024,R1,0.9270809295126421
463,Ol_9689.8,2024,R1,13.550068671566034
464,Ol_9702.6,2024,R1,32.6875667173361
465,Ol_9793,2024,R1,0.0
466,Ol_9797.2,2024,R1,39.46952465177688
467,Ol_9833.1,2024,R1,66.24377964524287
468,Ol_9942.2,2024,R1,42.16370328884543
469,Ol_9976.1,2024,R1,67.35835843398942
470,Ol_9986.6,2024,R1,67.23243047131741
471,Ol_9987,2024,R1,3.1251824911569233
472,Pl_10047.1.3,2024,R1,34.503405521921835
473,Pl_10446.2.18,2024,R1,78.68958568748877
474,Pl_10450.3,2024,R1,24.586570104329667
475,Pl_10560.24,2024,R1,14.294203289084075
476,Pl_10606.1.1,2024,R1,14.822173069480007
477,Pl_10832,2024,R1,52.617700939457414
478,Pl_10846.13,2024,R1,38.14599604425473
479,Pl_11475.1.3,2024,R1,10.887446330285556
480,Pl_11510.1.14,2024,R1,6.352183428041193
481,Pl_11709.1.5,2024,R1,18.29552732830936
482,Pl_11721.8,2024,R1,66.98609113028957
483,Pl_11722.1.5,2024,R1,44.40177772389133
484,Pl_11729.3,2024,R1,0.0
485,Pl_11738.2.13,2024,R1,35.286742108433785
