pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_25297.2,152,eerste set,Kempen,0,HOL,binnen,179415.506200247,215394.70851425,31370
Km_25461.4,264,eerste set,Kempen,0,HOL,binnen,189186.453711348,229343.733890997,31370
Km_25593.3,7,eerste set,Kempen,0,HOL,binnen,196467.941466775,212981.522358915,31370
Km_25933.4,525,eerste set,Kempen,0,HOL,binnen,223274.664359447,196675.279337424,31370
Km_26087.1,101,eerste set,Kempen,0,HOL,binnen,194284.843007849,209214.006260424,31370
Km_26099.9,171,eerste set,Kempen,0,HOL,binnen,193433.403062347,209372.515035467,31370
Km_26117.1,376,eerste set,Kempen,0,HOL,binnen,197131.182164701,211806.646871911,31370
Km_26361.5,510,eerste set,Kempen,0,HOL,binnen,209658.82242072799,217345.590131551,31370
Km_26383.2,283,eerste set,Kempen,0.141542397582507,HOL,binnen,194593.491611457,209926.948765226,31370
Km_26507.7,360,eerste set,Kempen,0,HOL,binnen,195208.862274597,214064.358445463,31370
Km_2723.1,90,eerste set,Kempen,0,HOL,binnen,224174.101765819,217822.835479634,31370
Km_2736.1,351,eerste set,Kempen,0,HOL,binnen,229971.840118198,216404.780638726,31370
Km_27894.15,310,eerste set,Kempen,0,HOL,binnen,195145.67754202,225176.687794708,31370
Km_27898.3,317,eerste set,Kempen,0,HOL,binnen,196954.888808991,226917.85524443,31370
Km_28033.2.3,30,eerste set,Kempen,0,HOL,binnen,227367.253924736,202480.408276892,31370
Km_28110.2,31,eerste set,Kempen,0,HOL,binnen,182615.740160571,233511.727393312,31370
Km_28973.2,532,eerste set,Kempen,0,HOL,binnen,212947.178821099,204459.474839479,31370
Km_29358.1.2,342,eerste set,Kempen,0.0467791372380936,HOL,binnen,240960.69987231,203437.542867706,31370
Km_29802.9,84,eerste set,Kempen,0,HOL,binnen,246702.179697931,205117.794693286,31370
Km_29810.5,278,eerste set,Kempen,0,HOL,binnen,243342.605187986,208447.833335209,31370
Km_29894,533,eerste set,Kempen,0,HOL,binnen,232887.451353368,212920.902835064,31370
Km_29961.1.1,387,eerste set,Kempen,0,HOL,binnen,192281.34688812,228722.539623766,31370
Km_29969,298,eerste set,Kempen,0,HOL,binnen,191253.607974446,229574.083986929,31370
Km_30054.4,33,eerste set,Kempen,0,HOL,binnen,244031.801338316,207308.762262572,31370
Km_30169.4,498,eerste set,Kempen,0,HOL,binnen,187788.114347521,228926.812419358,31370
Km_30222.6,424,eerste set,Kempen,0,HOL,binnen,244208.894122335,206507.187884318,31370
Km_30272.5,379,eerste set,Kempen,0,HOL,binnen,195665.031057315,217357.252575508,31370
Km_30450.7,120,eerste set,Kempen,0,HOL,binnen,225260.538613981,217618.178923795,31370
Km_30675.1,299,eerste set,Kempen,0,HOL,binnen,195081.96754185,212279.778379411,31370
Km_30707.5,53,eerste set,Kempen,0.00811292959337139,HOL,binnen,202169.040089941,184048.443008121,31370
Km_30765.1,399,eerste set,Kempen,0,HOL,binnen,187433.061563702,229531.539953712,31370
Km_30831.4,442,eerste set,Kempen,0,HOL,binnen,242726.537165976,205127.453309028,31370
Km_31210.4,34,eerste set,Kempen,0,HOL,binnen,196448.528611832,225357.583346817,31370
Km_31224,179,eerste set,Kempen,0.0494640676507723,HOL,binnen,194888.838368786,226105.728389911,31370
Km_31226.3,219,eerste set,Kempen,0,HOL,binnen,195872.214447663,227142.16139645,31370
Km_31272.3,378,eerste set,Kempen,0,HOL,binnen,243849.98100456,205680.375900258,31370
Km_31301,197,eerste set,Kempen,0,HOL,binnen,226549.899946057,182233.820059782,31370
Km_31383.1.3,383,eerste set,Kempen,0,HOL,binnen,193029.301664483,224783.870130605,31370
Km_31486.16,146,eerste set,Kempen,0.0245051126963378,HOL,binnen,236540.979814534,210104.580563127,31370
Km_31804.3,103,eerste set,Kempen,0,HOL,binnen,174854.087118869,202275.713343477,31370
